Probe Detununing,Rydberg Population
-212264000.0,5.553659924528783e-06
-211636000.0,5.599679874831151e-06
-211008000.0,5.646238292487039e-06
-210380000.0,5.693343097594194e-06
-209752000.0,5.741002348669586e-06
-209124000.0,5.789224245433726e-06
-208496000.0,5.838017131657006e-06
-207868000.0,5.887389498070281e-06
-207240000.0,5.937349985343562e-06
-206612000.0,5.987907387131741e-06
-205984000.0,6.039070653189364e-06
-205356000.0,6.090848892558309e-06
-204728000.0,6.1432513768278704e-06
-204100000.0,6.1962875434700776e-06
-203472000.0,6.249966999253398e-06
-202844000.0,6.304299523733852e-06
-202216000.0,6.35929507282807e-06
-201588000.0,6.414963782470376e-06
-200960000.0,6.4713159723544605e-06
-200332000.0,6.528362149762314e-06
-199704000.0,6.586113013484485e-06
-199076000.0,6.644579457831883e-06
-198448000.0,6.703772576741942e-06
-197820000.0,6.763703667982669e-06
-197192000.0,6.824384237456054e-06
-196564000.0,6.885826003604949e-06
-195936000.0,6.948040901922895e-06
-195308000.0,7.011041089573948e-06
-194680000.0,7.0748389501230625e-06
-194052000.0,7.139447098378662e-06
-193424000.0,7.204878385354206e-06
-192796000.0,7.271145903347878e-06
-192168000.0,7.338262991146768e-06
-191540000.0,7.40624323935635e-06
-190912000.0,7.475100495861259e-06
-190284000.0,7.544848871418392e-06
-189656000.0,7.615502745387649e-06
-189028000.0,7.687076771603299e-06
-188400000.0,7.759585884390534e-06
-187772000.0,7.833045304729563e-06
-187144000.0,7.907470546573948e-06
-186516000.0,7.982877423324336e-06
-185888000.0,8.05928205446513e-06
-185260000.0,8.136700872365713e-06
-184632000.0,8.215150629252498e-06
-184004000.0,8.294648404356553e-06
-183376000.0,8.375211611240397e-06
-182748000.0,8.456858005311005e-06
-182120000.0,8.539605691521976e-06
-181492000.0,8.623473132273105e-06
-180864000.0,8.70847915550932e-06
-180236000.0,8.794642963027984e-06
-179608000.0,8.881984138998358e-06
-178980000.0,8.970522658700648e-06
-178352000.0,9.060278897489868e-06
